Region,Region Type,Year,Net property taxes and payments in lieu of taxes,"Assessable Property Taxes (Net Of School Board Appropriations, corrections, housing deficits)",Grants In Lieu Of Taxes,Services Provided To Other Governments,Sales Of Services,Other Revenue From Own Sources,Unconditional Transfers From Other Governments,Conditional transfers from other governments,Conditional Transfers From Federal Or Provincial Governments Or Agencies,Conditional Transfers From Other Local Governments,Total Revenues,General Government Services,Protective Services,Transportation Services,Environmental Health Services,Public Health Services,Environmental Development Services,Recreation And Cultural Services,Extraordinary Or Special Items,Total Expenses,Operating surplus (deficit) before financing and transfers,TOTAL FINANCING AND TRANSFERS,ANNUAL SURPLUS (DEFICIT)
Clare,Rural Municipality,2013-14,,4667808,146075,424974,0,539530,294893,,206310,0,6279590,1260426,1598150,109075,1523240,575375,400195,680819,0,6147280,,,
Colchester,Rural Municipality,2013-14,,23099215,877816,1141998,423287,8272805,944182,,575077,459310,35793690,4563436,8187727,1206441,9639794,260943,357730,1768319,0,25984390,,,
Cumberland,Rural Municipality,2013-14,,11922617,308726,0,0,560102,864267,,42835,0,13698547,2894639,4793581,407051,2413292,218422,507532,353023,0,11587540,,,
Digby,Rural Municipality,2013-14,,5439357,136762,62548,75476,319286,384899,,7397,5000,6430725,1284829,2079158,663251,958119,42637,236363,399513,0,5663870,,,
East Hants,Rural Municipality,2013-14,,18854865,178295,0,824547,1359387,185268,,188486,0,21590848,4848873,6387321,1117456,3673810,63769,1138400,1373404,0,18603033,,,
Guysborough,Rural Municipality,2013-14,,6414823,281183,22369,5034512,2987796,314361,,212921,0,15267965,2854562,2720072,410953,2397057,73721,546269,951275,0,9953909,,,
Inverness,Rural Municipality,2013-14,,8281961,358671,276455,198915,368030,549736,,66036,0,10099804,1996861,2635399,770035,2436136,166047,496567,604758,249420,9355223,,,
Kings,Rural Municipality,2013-14,,25684100,2929400,1236200,595500,928900,283100,,113700,78300,31849200,5111900,9903200,3194900,7187800,199900,1585800,1810000,0,28993500,,,
Lunenburg,Rural Municipality,2013-14,,16572642,191066,32717,89112,2547842,79946,,68023,0,19581348,4042066,3797721,1206590,3224004,34263,1198816,2352141,0,15855601,,,
Pictou,Rural Municipality,2013-14,,12508558,191661,31249,0,619708,466772,,0,0,13817948,3052349,5641935,588178,2417001,83107,201868,470956,0,12455394,,,
Richmond,Rural Municipality,2013-14,,8737432,141214,0,165000,612506,0,,54563,0,9710715,3166434,2473973,594709,1820211,9175,1038429,778743,0,9881674,,,
Shelburne,Rural Municipality,2013-14,,3913108,206486,0,21372,257104,60924,,0,0,4458994,1166095,1170876,242132,702194,12685,107329,282927,3400,3687638,,,
St. Mary's,Rural Municipality,2013-14,,1719123,287307,0,13395,175545,194127,,1380,0,2390877,816049,697860,123535,546566,12858,57553,242446,0,2496867,,,
Victoria,Rural Municipality,2013-14,,7121804,690393,16597,946070,207926,200310,,0,0,9183100,2944384,2436968,460939,2132619,53663,137695,364993,0,8531261,,,
West Hants,Rural Municipality,2013-14,,7395738,112827,429144,27182,234151,114251,,41217,17240,8371750,1658703,3866232,469052,1179469,40619,557380,569411,0,8340866,,,
Yarmouth,Rural Municipality,2013-14,,7070141,31742,328060,0,839105,307840,,0,0,8576888,1778195,2094219,1193057,988273,178266,343303,862993,0,7438306,,,
