Region,Region Type,Year,Net property taxes and payments in lieu of taxes,"Assessable Property Taxes (Net Of School Board Appropriations, corrections, housing deficits)",Grants In Lieu Of Taxes,Services Provided To Other Governments,Sales Of Services,Other Revenue From Own Sources,Unconditional Transfers From Other Governments,Conditional transfers from other governments,Conditional Transfers From Federal Or Provincial Governments Or Agencies,Conditional Transfers From Other Local Governments,Total Revenues,General Government Services,Protective Services,Transportation Services,Environmental Health Services,Public Health Services,Environmental Development Services,Recreation And Cultural Services,Extraordinary Or Special Items,Total Expenses,Operating surplus (deficit) before financing and transfers,TOTAL FINANCING AND TRANSFERS,ANNUAL SURPLUS (DEFICIT)
Annapolis Royal,Town,2013-14,,1181254,55213,0,79690,46960,71045,,113927,0,1548089,322945,489653,146673,142601,17159,141244,48414,0,1308689,,,
Antigonish,Town,2013-14,,4042051,885618,149444,476358,178128,198385,,0,0,5929984,641678,2033421,1073053,862710,57747,320856,603130,0,5592595,,,
Berwick,Town,2013-14,,2871297,9716,188682,162997,65784,269651,,0,30020,3598147,999803,863288,649407,595114,16595,110148,253758,0,3488113,,,
Bridgetown,Town,2013-14,,1111311,27172,92747,6091,61496,206125,,6615,28019,1539576,283988,375173,230609,152508,30728,86492,116817,0,1276315,,,
Bridgewater,Town,2013-14,,13775889,802824,0,532526,401917,435932,,350475,4000,16303563,1862840,5299768,2443976,1774253,205040,371110,1979662,0,13936649,,,
Clark's Harbour,Town,2013-14,,819743,32630,0,0,53746,187241,,2545,0,1095905,291928,199174,88406,248406,29816,39343,92182,0,989255,,,
Digby,Town,2013-14,,2779070,438882,175300,101978,155317,373277,,5171,2500,4031495,685784,1275476,775101,605566,63819,108012,300219,0,3813977,,,
Hantsport,Town,2013-14,,1590594,8505,172788,13503,77341,89950,,15417,3589,1971687,377901,538490,453653,182666,26960,21286,135878,0,1736834,,,
Kentville,Town,2013-14,,7862676,510023,171538,878347,1378347,129466,,201187,0,11131584,1347267,3338424,2169712,1449804,90676,563253,1157469,0,10116605,,,
Lockeport,Town,2013-14,,792881,15155,44917,33403,72976,160182,,57780,0,1177294,292248,196550,156870,177788,13232,83646,150766,0,1071100,,,
Lunenburg,Town,2013-14,,3960231,226305,0,277550,233606,69224,,31043,183712,4981671,458783,1386187,898781,1022614,67457,259266,610615,0,4703703,,,
Mahone Bay,Town,2013-14,,1702863,21249,119142,8378,124789,50020,,11000,0,2037441,367839,477652,279224,261886,20446,89581,52723,0,1549351,,,
Middleton,Town,2013-14,,2433918,158535,131286,172032,103507,337129,,39803,0,3376210,573700,864443,540556,343944,52583,187051,345515,0,2907792,,,
Mulgrave,Town,2013-14,,1364443,4917,0,745,135123,155563,,47473,0,1708264,377957,392247,283875,224918,13451,0,238208,0,1530656,,,
New Glasgow,Town,2013-14,,13449028,75646,710844,89852,619232,1040319,,1579,0,15986500,1814458,6129542,2918529,1537689,203569,271576,1693889,0,14569252,,,
Oxford,Town,2013-14,,1785379,60874,52872,0,80578,184941,,111586,0,2276230,318311,766445,415629,180397,61328,44929,232644,0,2019683,,,
Parrsboro,Town,2013-14,,1242704,10703,87728,271341,50281,398704,,31444,0,2092905,552805,556983,545118,70807,50665,69397,155226,0,2001001,,,
Pictou,Town,2013-14,,3511504,311393,29852,296448,330824,593760,,20200,26000,5119981,691786,1373043,1024565,642195,182622,296471,545747,0,4756429,,,
Port Hawkesbury,Town,2013-14,,4566861,735196,241598,1008227,482729,277546,,84203,126078,7522438,1060698,1383261,1122566,687082,51253,73313,1991104,0,6369277,,,
Shelburne,Town,2013-14,,2134562,33603,42406,13422,187641,367265,,0,2500,2781399,567596,773599,474591,395020,81418,107057,184711,0,2583992,,,
Springhill,Town,2013-14,,2567878,1829709,59876,694880,456965,854430,,0,0,6463738,1670627,2395524,1201897,557392,139308,41835,897354,0,6903937,,,
Stellarton,Town,2013-14,,5733846,145866,0,222586,87809,506636,,104635,0,6801378,802073,1906698,1378855,697748,54630,295369,668922,0,5804295,,,
Stewiacke,Town,2013-14,,1522074,5538,0,34419,118916,198973,,29395,0,1909315,471172,309677,399186,194114,26778,21085,193425,0,1615437,,,
Trenton,Town,2013-14,,2754589,3816,102299,250137,108275,415383,,4291,0,3638790,604587,769148,730193,327857,44986,172074,708096,0,3356941,,,
Truro,Town,2013-14,,18053701,656806,225974,676998,567619,1330550,,888513,0,22400161,3286546,7245658,3359297,2744348,232974,815197,2552015,0,20236035,,,
Westville,Town,2013-14,,2924921,5821,0,308646,206183,681807,,134900,0,4262278,796843,1483564,743347,452486,56804,89945,201272,0,3824261,,,
Windsor,Town,2013-14,,5495389,145524,48512,354431,251492,409959,,16036,50369,6771712,1065203,1597829,1064021,629931,113697,236599,792824,0,5500104,,,
Wolfville,Town,2013-14,,6594331,913200,1671,424656,170429,72246,,29000,7210,8212743,1102012,2125151,1249472,679648,41148,633588,659980,0,6490999,,,
Yarmouth,Town,2013-14,,10927772,1213452,758574,70279,1819908,655821,,27987,0,15473793,1103692,4607894,2065217,2245421,201047,1615036,916896,0,12755203,,,
Annapolis,Rural Municipality,2013-14,,9115062,296810,0,836819,628086,766057,,6856,11946,11661636,2617843,3026648,1147415,1798572,37778,329536,1225345,0,10183137,,,
Antigonish,Rural Municipality,2013-14,,7823339,384198,0,1287938,363749,143510,,0,0,10002734,2735071,2664559,278209,1945795,158529,295442,985642,0,9063247,,,
Argyle,Rural Municipality,2013-14,,4655884,180600,1200,0,333715,153306,,94905,0,5419610,1454320,1452041,434943,804519,166400,304275,489418,0,5105916,,,
Barrington,Rural Municipality,2013-14,,4230857,137184,191280,297544,390692,183162,,84647,0,5515366,1407686,1262234,244202,1108483,70564,258555,732406,0,5084130,,,
Chester,Rural Municipality,2013-14,,9431386,145813,0,2673758,773811,125294,,126792,77998,13354852,2657064,2563713,540926,3332507,22219,743895,919369,-7384,10772309,,,
